央视,#genre#
CCTV1,http://220.169.156.36:9901/tsfile/live/0001_1.m3u8?key=txiptv&url=tvzb.com
CCTV2,http://220.169.156.36:9901/tsfile/live/0002_1.m3u8?key=txiptv&url=tvzb.com
CCTV3,http://220.169.156.36:9901/tsfile/live/0003_1.m3u8?key=txiptv&url=tvzb.com
CCTV4,http://220.169.156.36:9901/tsfile/live/0004_1.m3u8?key=txiptv&url=tvzb.com
CCTV5,http://220.169.156.36:9901/tsfile/live/0005_1.m3u8?key=txiptv&url=tvzb.com
CCTV6,http://220.169.156.36:9901/tsfile/live/0006_1.m3u8?key=txiptv&url=tvzb.com
CCTV7,http://220.169.156.36:9901/tsfile/live/0007_1.m3u8?key=txiptv&url=tvzb.com
CCTV8,http://220.169.156.36:9901/tsfile/live/0008_1.m3u8?key=txiptv&url=tvzb.com
CCTV9,http://220.169.156.36:9901/tsfile/live/0009_1.m3u8?key=txiptv&url=tvzb.com
CCTV10,http://220.169.156.36:9901/tsfile/live/0010_1.m3u8?key=txiptv&url=tvzb.com
CCTV11,http://220.169.156.36:9901/tsfile/live/0011_1.m3u8?key=txiptv&url=tvzb.com
CCTV12,http://220.169.156.36:9901/tsfile/live/0012_1.m3u8?key=txiptv&url=tvzb.com
CCTV13,http://220.169.156.36:9901/tsfile/live/0013_1.m3u8?key=txiptv&url=tvzb.com
CCTV14,http://220.169.156.36:9901/tsfile/live/0014_1.m3u8?key=txiptv&url=tvzb.com
CCTV15,http://220.169.156.36:9901/tsfile/live/0015_1.m3u8?key=txiptv&url=tvzb.com
CCTV5P,http://220.169.156.36:9901/tsfile/live/0016_1.m3u8?key=txiptv&url=tvzb.com
湖南卫视,http://220.169.156.36:9901/tsfile/live/0128_1.m3u8?key=txiptv&url=tvzb.com
江苏卫视,http://220.169.156.36:9901/tsfile/live/0127_1.m3u8?key=txiptv&url=tvzb.com
浙江卫视,http://220.169.156.36:9901/tsfile/live/0124_1.m3u8?key=txiptv&url=tvzb.com
安徽卫视,http://220.169.156.36:9901/tsfile/live/0130_1.m3u8?key=txiptv&url=tvzb.com
北京卫视,http://220.169.156.36:9901/tsfile/live/0122_1.m3u8?key=txiptv&url=tvzb.com
天津卫视,http://220.169.156.36:9901/tsfile/live/0135_1.m3u8?key=txiptv&url=tvzb.com
上海卫视,http://220.169.156.36:9901/tsfile/live/0107_1.m3u8?key=txiptv&url=tvzb.com
江西卫视,http://220.169.156.36:9901/tsfile/live/0138_1.m3u8?key=txiptv&url=tvzb.com
深圳卫视,http://220.169.156.36:9901/tsfile/live/0126_1.m3u8?key=txiptv&url=tvzb.com
辽宁卫视,http://220.169.156.36:9901/tsfile/live/0121_1.m3u8?key=txiptv&url=tvzb.com
东南卫视,http://220.169.156.36:9901/tsfile/live/0137_1.m3u8?key=txiptv&url=tvzb.com
广东卫视,http://220.169.156.36:9901/tsfile/live/0125_1.m3u8?key=txiptv&url=tvzb.com
湖北卫视,http://220.169.156.36:9901/tsfile/live/0132_1.m3u8?key=txiptv&url=tvzb.com
广西卫视,http://220.169.156.36:9901/tsfile/live/0113_1.m3u8?key=txiptv&url=tvzb.com
山东卫视,http://220.169.156.36:9901/tsfile/live/0131_1.m3u8?key=txiptv&url=tvzb.com
四川卫视,http://220.169.156.36:9901/tsfile/live/0123_1.m3u8?key=txiptv&url=tvzb.com
重庆卫视,http://220.169.156.36:9901/tsfile/live/0142_1.m3u8?key=txiptv&url=tvzb.com
云南卫视,http://220.169.156.36:9901/tsfile/live/0119_1.m3u8?key=txiptv&url=tvzb.com
河南卫视,http://220.169.156.36:9901/tsfile/live/0139_1.m3u8?key=txiptv&url=tvzb.com
黑龙江卫视,http://220.169.156.36:9901/tsfile/live/0143_1.m3u8?key=txiptv&url=tvzb.com
贵州卫视,http://220.169.156.36:9901/tsfile/live/0120_1.m3u8?key=txiptv&url=tvzb.com
河北卫视,http://220.169.156.36:9901/tsfile/live/0117_1.m3u8?key=txiptv&url=tvzb.com
吉林卫视,http://220.169.156.36:9901/tsfile/live/0116_1.m3u8?key=txiptv&url=tvzb.com
陕西卫视,http://220.169.156.36:9901/tsfile/live/0136_1.m3u8?key=txiptv&url=tvzb.com
山西卫视,http://220.169.156.36:9901/tsfile/live/0118_1.m3u8?key=txiptv&url=tvzb.com
新疆卫视,http://220.169.156.36:9901/tsfile/live/0110_1.m3u8?key=txiptv&url=tvzb.com
西藏卫视,http://220.169.156.36:9901/tsfile/live/0111_1.m3u8?key=txiptv&url=tvzb.com
